"uuid","event_year","event_date","event_time","event_datetime","round","round_number","stadium","city","country","home_team","away_team","observation","winner_team","loser_team","penalty_definition","home_goals","home_goals_in_penalties","away_goals","away_goals_in_penalties"
de26a088-aef3-e30b-b430-cadc1eca20fc,2002,"22-Jun-02", 15:30 ,2002-06-22 12:30:00.000 -0300,Quarter-finals,3,Gwangju World Cup Stadium,Gwangju ,Korea/Japan,Spain,Korea Republic,Korea Republic win on penalties (3 - 5) ,Korea Republic,Spain,true,0,3,0,5
dec07e42-16ef-4c6e-fde2-395cb8160fd6,2002,"6-Jun-02", 20:30 ,2002-06-06 17:30:00.000 -0300,Group A,1,Busan Asiad Main Stadium,Busan ,Korea/Japan,France,Uruguay,,,,false,0,,0,
dec9e502-956e-3bd2-3708-3a32d6085aa4,1998,"24-Jun-98", 16:00 ,1998-06-24 13:00:00.000 -0300,Group C,1,Stade de Gerland,Lyon ,France,France,Denmark,,France,Denmark,false,2,,1,
e0145a44-961e-9fca-08d5-0ed8f36ab125,1978,"25-Jun-78", 15:00 ,1978-06-25 12:00:00.000 -0300,Final,5,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Argentina,Argentina,Netherlands,Argentina win after extra time ,Argentina,Netherlands,false,3,,1,
e0945ece-9063-163c-bb30-dcdcaa745ec4,1986,"5-Jun-86", 12:00 ,1986-06-05 09:00:00.000 -0300,Group A,1,Cuauhtemoc,Puebla ,Mexico,Italy,Argentina,,,,false,1,,1,
e0e55a92-44c4-13ec-48c7-296deaf9a919,1974,"26-Jun-74", 19:30 ,1974-06-26 16:30:00.000 -0300,Group A,1,Parkstadion,Gelsenkirchen ,Germany,Netherlands,Argentina,,Netherlands,Argentina,false,4,,0,
e10feee4-016f-78bb-49e9-6914f8cbedaf,1954,"27-Jun-54", 17:00 ,1954-06-27 14:00:00.000 -0300,Quarter-finals,3,Wankdorf Stadium,Berne ,Switzerland,Hungary,Brazil,,Hungary,Brazil,false,4,,2,
e18ef929-ca84-2676-6d22-5cabb9a2dc8b,1930,"13-Jul-30", 15:00 ,1930-07-13 11:00:00.000 -0400,Group 4,1,Parque Central,Montevideo ,Uruguay,USA,Belgium,,USA,Belgium,false,3,,0,
e2399f38-7602-00c5-bad2-09f9510428f1,2010,"20-Jun-10", 13:30 ,2010-06-20 10:30:00.000 -0300,Group F,1,Free State Stadium,Mangaung/Bloemfontein ,South Africa,Slovakia,Paraguay,,Paraguay,Slovakia,false,0,,2,
e2426d5a-85cc-f684-2f9d-5fa6f6ea0058,1990,"18-Jun-90", 21:00 ,1990-06-18 18:00:00.000 -0300,Group B,1,Stadio San Nicola,Bari ,Italy,Cameroon,Soviet Union,,Soviet Union,Cameroon,false,0,,4,
e26b09d0-e0ee-09eb-3c5e-9c170d18c156,2006,"24-Jun-06", 21:00 ,2006-06-24 18:00:00.000 -0300,Round of 16,2,Zentralstadion,Leipzig ,Germany,Argentina,Mexico,Argentina win after extra time ,Argentina,Mexico,false,2,,1,
e29991cf-eaae-1a51-6080-2f14334504f0,1982,"16-Jun-82", 21:00 ,1982-06-16 18:00:00.000 -0300,Group 5,1,Luis Casanova,Valencia ,Spain,Spain,Honduras,,,,false,1,,1,
e2c2e13c-7f73-ce62-82d3-3898792c660a,2010,"16-Jun-10", 16:00 ,2010-06-16 13:00:00.000 -0300,Group H,1,Durban Stadium,Durban ,South Africa,Spain,Switzerland,,Switzerland,Spain,false,0,,1,
e2c8dc1d-2ff9-2e78-6153-92f7472275e0,1970,"3-Jun-70", 16:00 ,1970-06-03 13:00:00.000 -0300,Group 4,1,Nou Camp - Estadio Leï¿½n,Leon ,Mexico,Germany FR,Morocco,,Germany FR,Morocco,false,2,,1,
e2ecf1c1-9973-13e1-52cf-7c706e46bd06,2010,"19-Jun-10", 13:30 ,2010-06-19 10:30:00.000 -0300,Group E,1,Durban Stadium,Durban ,South Africa,Netherlands,Japan,,Netherlands,Japan,false,1,,0,
e30d0bdc-8eae-e862-d39e-3d64c7cd33f5,1974,"30-Jun-74", 16:00 ,1974-06-30 13:00:00.000 -0300,Group B,1,Waldstadion,Frankfurt/Main ,Germany,Poland,Yugoslavia,,Poland,Yugoslavia,false,2,,1,
e33edf95-65c1-80b8-aff7-c8c51de66e80,1962,"31-May-62", 15:00 ,1962-05-31 12:00:00.000 -0300,Group 2,1,Nacional,Santiago De Chile ,Chile,Germany FR,Italy,,,,false,0,,0,
e3600075-798b-a9e4-eff8-88b3da75270e,1990,"8-Jun-90", 18:00 ,1990-06-08 15:00:00.000 -0300,Group B,1,Giuseppe Meazza,Milan ,Italy,Argentina,Cameroon,,Cameroon,Argentina,false,0,,1,
e3cd82f1-ba43-5b67-e9b1-3abf7f52f384,1958,"12-Jun-58", 19:00 ,1958-06-12 16:00:00.000 -0300,Group 3,1,Rasunda Stadium,Solna ,Sweden,Sweden,Hungary,,Sweden,Hungary,false,2,,1,
